date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:02	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:05%20GMT	https://groovy.bot/support	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/support	(from https://groovy.bot/)
13:37:02	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:05%20GMT	https://groovy.bot/login	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/login	(from https://groovy.bot/)
13:37:03	21286/21286	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225326-172cd6c5b10%22	https://groovy.bot/img/logos/rounded.svg	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/logos/rounded.svg	(from https://groovy.bot/)
13:37:03	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:05%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/)
13:37:03	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:06%20GMT	https://groovy.bot/support	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/support	(from https://groovy.bot/)
13:37:04	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:06%20GMT	https://groovy.bot/login	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/login	(from https://groovy.bot/)
13:37:04	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:06%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/)
13:37:04	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:06%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/)
13:37:04	55361/55361	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2010:37:07%20GMT	https://groovy.bot/team	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/team.html	(from https://groovy.bot/)
13:37:05	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:07%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/)
13:37:07	674/674	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202020%2010:37:08%20GMT	https://www.google.com/recaptcha/api.js?render=	C:/Benim%20Web%20Sitem/sadasfdawsd/www.google.com/recaptcha/api3398.js	(from https://js.chargebee.com/v2/chargebee.js)
13:37:07	40716/40716	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:08%20GMT	https://groovy.bot/portal/v2/	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/portal/v2/index.html	(from https://js.chargebee.com/v2/chargebee.js)
13:37:07	40714/40714	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:08%20GMT	https://groovy.bot/e.data.redirectUrl	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/e.data.redirectUrl	(from https://js.chargebee.com/v2/chargebee.js)
13:37:08	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Wed,%2001%20Jul%202020%2010:37:10%20GMT	https://groovy.bot/img/backgrounds/groovybackground_grey3.svg	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/backgrounds/groovybackground_grey3.svg	(from https://groovy.bot/img/backgrounds/horizontal.svg)
13:37:08	123609/123609	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2012%20Jun%202020%2018:30:43%20GMT	http://djnf6e5yyirys.cloudfront.net/js/friendbuy.min.js	C:/Benim%20Web%20Sitem/sadasfdawsd/djnf6e5yyirys.cloudfront.net/js/friendbuy.min.js	(from https://js.chargebee.com/v2/chargebee.js)
13:37:08	28611/28611	---MCZ	200	added ('OK')	application/javascript	etag:W/%226fc3-172cd6d1a78%22	https://groovy.bot/_nuxt/f5c30fb2d33c035fb1f4.js	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/_nuxt/f5c30fb2d33c035fb1f4.js	(from https://groovy.bot/commands)
13:37:08	14620/14620	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22391c-172cd6c5b10%22	https://groovy.bot/img/backgrounds/vertical.svg	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/img/backgrounds/vertical.svg	(from https://groovy.bot/commands)
13:37:08	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:11%20GMT	https://groovy.bot/invite	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/invite	(from https://groovy.bot/commands)
13:37:09	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Jul%202020%2010:37:11%20GMT	https://groovy.bot/support	C:/Benim%20Web%20Sitem/sadasfdawsd/groovy.bot/support	(from https://groovy.bot/commands)
